10 Minutes,Flow
2016-06-01 00:00:00.0,26
2016-06-01 00:10:00.0,30
2016-06-01 00:20:00.0,34
2016-06-01 00:30:00.0,32
2016-06-01 00:40:00.0,48
2016-06-01 00:50:00.0,22
2016-06-01 01:00:00.0,28
2016-06-01 01:10:00.0,17
2016-06-01 01:20:00.0,12
2016-06-01 01:30:00.0,13
2016-06-01 01:40:00.0,10
2016-06-01 01:50:00.0,11
2016-06-01 02:00:00.0,4
2016-06-01 02:10:00.0,12
2016-06-01 02:20:00.0,8
2016-06-01 02:30:00.0,16
2016-06-01 02:40:00.0,13
2016-06-01 02:50:00.0,13
2016-06-01 03:00:00.0,9
2016-06-01 03:10:00.0,12
2016-06-01 03:20:00.0,17
2016-06-01 03:30:00.0,23
2016-06-01 03:40:00.0,15
2016-06-01 03:50:00.0,14
2016-06-01 04:00:00.0,15
2016-06-01 04:10:00.0,18
2016-06-01 04:20:00.0,18
2016-06-01 04:30:00.0,13
2016-06-01 04:40:00.0,20
2016-06-01 04:50:00.0,14
2016-06-01 05:00:00.0,20
2016-06-01 05:10:00.0,20
2016-06-01 05:20:00.0,5
